Card Scheme,Bank Name,Issuer Identification Number (IIN),Card Number Format,Type of Card,Country Issued,Level of Card
Amex,American Express,341142,34114 2XXXX XXXXX,CREDIT,US,
Amex,American Express,342562,34256 2XXXX XXXXX,CREDIT,US,
Amex,American Express,370266,37026 6XXXX XXXXX,CREDIT,US,
Amex,American Express,371240,37124 0XXXX XXXXX,CREDIT,US,
Amex,American Express,371241 - 371242,37124 1XXXX XXXXX,CREDIT,US,
Amex,Delta Skymiles,371270,37127 0XXXX XXXXX,CREDIT,US,
Amex,American Express,371312,37131 2XXXX XXXXX,CREDIT,US,
Amex,American Express,371318,37131 8XXXX XXXXX,CREDIT,US,
Amex,American Express,371331,37133 1XXXX XXXXX,CREDIT,US,
Amex,American Express,371340,37134 0XXXX XXXXX,CREDIT,US,
Amex,American Express,371348,37134 8XXXX XXXXX,CREDIT,US,
Amex,American Express,371380,37138 0XXXX XXXXX,CREDIT,US,
Amex,American Express,371389,37138 9XXXX XXXXX,CREDIT,US,
Amex,American Express,371403,37140 3XXXX XXXXX,CREDIT,US,
Amex,American Express,371512,37151 2XXXX XXXXX,CREDIT,US,
Amex,American Express,371515,37151 5XXXX XXXXX,CREDIT,US,
Amex,American Express,371525,37152 5XXXX XXXXX,CREDIT,US,
Amex,American Express,371530,37153 0XXXX XXXXX,CREDIT,US,
Amex,American Express,371537,37153 7XXXX XXXXX,CREDIT,US,
Amex,American Express,371538,37153 8XXXX XXXXX,CREDIT,US,
Amex,American Express,371543,37154 3XXXX XXXXX,CREDIT,US,
Amex,American Express,371549,37154 9XXXX XXXXX,CREDIT,US,
Amex,American Express,371553 - 371554,37155 3XXXX XXXXX,CREDIT,US,
Amex,American Express,371556 - 371557,37155 6XXXX XXXXX,CREDIT,US,
Amex,American Express,371559,37155 9XXXX XXXXX,CREDIT,US,
Amex,American Express,371560,37156 0XXXX XXXXX,CREDIT,US,
Amex,American Express,371566,37156 6XXXX XXXXX,CREDIT,US,
Amex,American Express,371567,37156 7XXXX XXXXX,CREDIT,US,
Amex,American Express,371571,37157 1XXXX XXXXX,CREDIT,US,
Amex,American Express,371576,37157 6XXXX XXXXX,CREDIT,US,
Amex,American Express,371700,37170 0XXXX XXXXX,CREDIT,US,
Amex,American Express,371701,37170 1XXXX XXXXX,CREDIT,US,
Amex,American Express,371702,37170 2XXXX XXXXX,CREDIT,US,
Amex,American Express,371704,37170 4XXXX XXXXX,CREDIT,US,
Amex,American Express,371706,37170 6XXXX XXXXX,CREDIT,US,
Amex,American Express,371708,37170 8XXXX XXXXX,CREDIT,US,
Amex,American Express,371725,37172 5XXXX XXXXX,CREDIT,US,
Amex,American Express,371726,37172 6XXXX XXXXX,CREDIT,US,
Amex,American Express,371727,37172 7XXXX XXXXX,CREDIT,US,
Amex,American Express,371736,37173 6XXXX XXXXX,CREDIT,US,
Amex,American Express,371737,37173 7XXXX XXXXX,CREDIT,US,
Amex,American Express,371741,37174 1XXXX XXXXX,CREDIT,US,
Amex,American Express,371746,37174 6XXXX XXXXX,CREDIT,US,
Amex,American Express,371754,37175 4XXXX XXXXX,CREDIT,US,
Amex,American Express,371758,37175 8XXXX XXXXX,CREDIT,US,
Amex,American Express,371826,37182 6XXXX XXXXX,CREDIT,US,
Amex,American Express,371867,37186 7XXXX XXXXX,CREDIT,US,
Amex,American Express,372077,37207 7XXXX XXXXX,CREDIT,US,
Amex,American Express,372170,37217 0XXXX XXXXX,CREDIT,US,
Amex,American Express,372312,37231 2XXXX XXXXX,CREDIT,US,
Amex,American Express,372321,37232 1XXXX XXXXX,CREDIT,US,
Amex,American Express,372341,37234 1XXXX XXXXX,CREDIT,US,
Amex,American Express,372342,37234 2XXXX XXXXX,CREDIT,US,
Amex,American Express,372358,37235 8XXXX XXXXX,CREDIT,US,
Amex,American Express,372379,37237 9XXXX XXXXX,CREDIT,US,
Amex,American Express,372392,37239 2XXXX XXXXX,CREDIT,US,
Amex,American Express,372395,37239 5XXXX XXXXX,CREDIT,US,
Amex,American Express,372397,37239 7XXXX XXXXX,CREDIT,US,
Amex,American Express,372408,37240 8XXXX XXXXX,CREDIT,US,
Amex,American Express,372448,37244 8XXXX XXXXX,CREDIT,US,
Amex,American Express,372523,37252 3XXXX XXXXX,CREDIT,US,
Amex,American Express,372525,37252 5XXXX XXXXX,CREDIT,US,
Amex,American Express,372527,37252 7XXXX XXXXX,CREDIT,US,
Amex,American Express,372528 - 372529,37252 8XXXX XXXXX,CREDIT,US,
Amex,American Express,372532,37253 2XXXX XXXXX,CREDIT,US,
Amex,American Express,372533 - 372534,37253 3XXXX XXXXX,CREDIT,US,
Amex,American Express,372557,37255 7XXXX XXXXX,CREDIT,US,
Amex,American Express,372559,37255 9XXXX XXXXX,CREDIT,US,
Amex,American Express,372583,37258 3XXXX XXXXX,CREDIT,US,
Amex,American Express,372584,37258 4XXXX XXXXX,CREDIT,US,
Amex,American Express,372588,37258 8XXXX XXXXX,CREDIT,US,
Amex,American Express,372589,37258 9XXXX XXXXX,CREDIT,US,
Amex,American Express,372684,37268 4XXXX XXXXX,CREDIT,US,
Amex,American Express,372715,37271 5XXXX XXXXX,CREDIT,US,
Amex,American Express,372720,37272 0XXXX XXXXX,CREDIT,US,
Amex,American Express,372725,37272 5XXXX XXXXX,CREDIT,US,
Amex,American Express,372738,37273 8XXXX XXXXX,CREDIT,US,
Amex,American Express,372741,37274 1XXXX XXXXX,CREDIT,US,
Amex,American Express,372760,37276 0XXXX XXXXX,CREDIT,US,
Amex,American Express,372794,37279 4XXXX XXXXX,CREDIT,US,
Amex,American Express,372813,37281 3XXXX XXXXX,CREDIT,US,
Amex,American Express,372816,37281 6XXXX XXXXX,CREDIT,US,
Amex,American Express,372837,37283 7XXXX XXXXX,CREDIT,US,
Amex,Amex Issued,372878,37287 8XXXX XXXXX,CREDIT,US,
Amex,American Express,372890,37289 0XXXX XXXXX,CREDIT,US,
Amex,American Express,372898,37289 8XXXX XXXXX,CREDIT,US,
Amex,American Express,373039,37303 9XXXX XXXXX,CREDIT,US,
Amex,American Express,373128,37312 8XXXX XXXXX,CREDIT,US,
Amex,American Express,373137,37313 7XXXX XXXXX,CREDIT,US,
Amex,American Express,373190,37319 0XXXX XXXXX,CREDIT,US,
